s,match
http://nomisma.org/id/aegina_aegina,http://pleiades.stoa.org/places/579853
http://nomisma.org/id/borneskon,http://pleiades.stoa.org/places/252942
http://nomisma.org/id/seteisken,http://pleiades.stoa.org/places/252985
http://nomisma.org/id/scamandria,http://pleiades.stoa.org/places/550888
http://nomisma.org/id/peiraeeus,http://pleiades.stoa.org/places/857024
http://nomisma.org/id/narbo,http://pleiades.stoa.org/places/246347
http://nomisma.org/id/emerita,http://pleiades.stoa.org/places/256155
http://nomisma.org/id/astacus_bithynia,http://pleiades.stoa.org/places/511169
http://nomisma.org/id/perge,http://pleiades.stoa.org/places/639048
http://nomisma.org/id/nicomedia,http://pleiades.stoa.org/places/511337
http://nomisma.org/id/stobi,http://pleiades.stoa.org/places/491731
http://nomisma.org/id/samos,http://pleiades.stoa.org/places/599925
http://nomisma.org/id/cestrus,http://pleiades.stoa.org/places/648665
http://nomisma.org/id/segovia,http://pleiades.stoa.org/places/236658
http://nomisma.org/id/zephyrium,http://pleiades.stoa.org/places/648810
http://nomisma.org/id/iltukoite,http://pleiades.stoa.org/places/252949
http://nomisma.org/id/epiphaneia_syria,http://pleiades.stoa.org/places/668182
http://nomisma.org/id/trapezus,http://pleiades.stoa.org/places/857359
http://nomisma.org/id/caralis,http://pleiades.stoa.org/places/471899
http://nomisma.org/id/germanicopolis_paphlagonia,http://pleiades.stoa.org/places/844926
http://nomisma.org/id/arsinoe_crete,http://pleiades.stoa.org/places/590028
http://nomisma.org/id/aquinum,http://pleiades.stoa.org/places/432695
http://nomisma.org/id/placia,http://pleiades.stoa.org/places/511366
http://nomisma.org/id/augusta,http://pleiades.stoa.org/places/648577
http://nomisma.org/id/briula,http://pleiades.stoa.org/places/638793
http://nomisma.org/id/prostanna,http://pleiades.stoa.org/places/639072
http://nomisma.org/id/rusadir,http://pleiades.stoa.org/places/285512
http://nomisma.org/id/saetabis,http://pleiades.stoa.org/places/266018
http://nomisma.org/id/ctesiphon,http://pleiades.stoa.org/places/893976
http://nomisma.org/id/barce,http://pleiades.stoa.org/places/373750
http://nomisma.org/id/pergamum,http://pleiades.stoa.org/places/550812
http://nomisma.org/id/proerna,http://pleiades.stoa.org/places/541073
http://nomisma.org/id/potidaea,http://pleiades.stoa.org/places/491701
http://nomisma.org/id/cyane,http://pleiades.stoa.org/places/638948
http://nomisma.org/id/scione,http://pleiades.stoa.org/places/501620
http://nomisma.org/id/antigoneia_syria,http://pleiades.stoa.org/places/658380
http://nomisma.org/id/antiochia_ad_callirhoem,http://pleiades.stoa.org/places/658457
http://nomisma.org/id/edessa_mesopotamia,http://pleiades.stoa.org/places/658457
http://nomisma.org/id/balanaea,http://pleiades.stoa.org/places/668206
http://nomisma.org/id/stymphalus,http://pleiades.stoa.org/places/570696
http://nomisma.org/id/thespiae,http://pleiades.stoa.org/places/541141
http://nomisma.org/id/sigeum,http://pleiades.stoa.org/places/550877
http://nomisma.org/id/tiryns,http://pleiades.stoa.org/places/570740
http://nomisma.org/id/zeleia,http://pleiades.stoa.org/places/511461
http://nomisma.org/id/cremna,http://pleiades.stoa.org/places/638814
http://nomisma.org/id/chersonesus_crete,http://pleiades.stoa.org/places/589744
http://nomisma.org/id/axus,http://pleiades.stoa.org/places/590095
http://nomisma.org/id/hybla_magna,http://pleiades.stoa.org/places/462251
http://nomisma.org/id/moda,http://pleiades.stoa.org/places/589938
http://nomisma.org/id/pylus,http://pleiades.stoa.org/places/570640
http://nomisma.org/id/elaeusa,http://pleiades.stoa.org/places/648628
http://nomisma.org/id/byllis,http://pleiades.stoa.org/places/481777
http://nomisma.org/id/anaphe,http://pleiades.stoa.org/places/599491
http://nomisma.org/id/lyrceia-achaean_league,http://pleiades.stoa.org/places/570446
http://nomisma.org/id/heraclea_minoa,http://pleiades.stoa.org/places/462237
http://nomisma.org/id/philadelpheia_cilicia,http://pleiades.stoa.org/places/648736
http://nomisma.org/id/miletus,http://pleiades.stoa.org/places/599799
http://nomisma.org/id/rusicade,http://pleiades.stoa.org/places/305137
http://nomisma.org/id/untikesken,http://pleiades.stoa.org/places/252998
http://nomisma.org/id/isaura,http://pleiades.stoa.org/places/648651
http://nomisma.org/id/pharae,http://pleiades.stoa.org/places/541040
http://nomisma.org/id/simyra,http://pleiades.stoa.org/places/668372
http://nomisma.org/id/alaun,http://pleiades.stoa.org/places/252929
http://nomisma.org/id/pyranthus,http://pleiades.stoa.org/places/590022
http://nomisma.org/id/sinde,http://pleiades.stoa.org/places/825265
http://nomisma.org/id/smyrna,http://pleiades.stoa.org/places/550771
http://nomisma.org/id/temesa,http://pleiades.stoa.org/places/452469
http://nomisma.org/id/bilbilis,http://pleiades.stoa.org/places/246247
http://nomisma.org/id/antigoneia_mantineia,http://pleiades.stoa.org/places/570459
http://nomisma.org/id/vulci,http://pleiades.stoa.org/places/413393
http://nomisma.org/id/acinippo,http://pleiades.stoa.org/places/255950
http://nomisma.org/id/aegae_macedon,http://pleiades.stoa.org/places/491512
http://nomisma.org/id/iltirkesken,http://pleiades.stoa.org/places/252948
http://nomisma.org/id/tigranocerta,http://pleiades.stoa.org/places/874774
http://nomisma.org/id/ikesankom,http://pleiades.stoa.org/places/246352
http://nomisma.org/id/agrigentum,http://pleiades.stoa.org/places/462086
http://nomisma.org/id/savatra,http://pleiades.stoa.org/places/648780
http://nomisma.org/id/brundisium,http://pleiades.stoa.org/places/442509
http://nomisma.org/id/syangela,http://pleiades.stoa.org/places/599948
http://nomisma.org/id/atiliana,http://pleiades.stoa.org/places/246200
